zeta,speed_g0.2,comp_g0.2,speed_g0.4,comp_g0.4,speed_g0.6,comp_g0.6,speed_g0.8,comp_g0.8,speed_g1.0,comp_g1.0
1.089882241113e+00,1.184723654215e-01,1.313628466225e-01,2.151313099990e-01,2.426805822935e-01,3.021306276997e-01,3.467385069114e-01,3.841590256766e-01,4.485328732221e-01,4.627061353000e-01,5.496223824504e-01
1.108412331303e+00,1.169529569238e-01,1.323283279812e-01,2.121969199461e-01,2.450873883720e-01,2.979122881710e-01,3.512453432836e-01,3.788862396201e-01,4.560067387589e-01,4.566829576422e-01,5.610705873230e-01
1.127257468595e+00,1.154429691388e-01,1.332892836037e-01,2.092749037910e-01,2.474853643045e-01,2.937010927979e-01,3.557480732988e-01,3.736080351953e-01,4.635086320425e-01,4.506377847756e-01,5.726296693365e-01
1.146423009396e+00,1.139425047247e-01,1.342454685025e-01,2.063656268126e-01,2.498735072067e-01,2.894977445312e-01,3.602442146198e-01,3.683254248485e-01,4.710342726362e-01,4.445718992353e-01,5.842944971101e-01
1.165914401180e+00,1.124516649487e-01,1.351966373814e-01,2.034694547037e-01,2.522508013137e-01,2.853029532208e-01,3.647312153594e-01,3.630394398646e-01,4.785791879633e-01,4.384866206224e-01,5.960595900578e-01
1.185737184039e+00,1.109705495215e-01,1.361425446633e-01,2.005867522944e-01,2.546162173088e-01,2.811174345631e-01,3.692064536126e-01,3.577511292072e-01,4.861387097404e-01,4.323833052247e-01,6.079191099425e-01
1.205896992257e+00,1.094992571363e-01,1.370829453882e-01,1.977178851594e-01,2.569687152529e-01,2.769419112721e-01,3.736672399797e-01,3.524615606556e-01,4.937079736843e-01,4.262633459915e-01,6.198668532921e-01
1.226399555913e+00,1.080378850247e-01,1.380175949465e-01,1.948632177274e-01,2.593072432306e-01,2.727771115242e-01,3.781108167890e-01,3.471718193122e-01,5.012819160753e-01,4.201281721615e-01,6.318962438048e-01
1.247250702508e+00,1.065865289477e-01,1.389462493268e-01,1.920231141019e-01,2.616307394271e-01,2.686237692491e-01,3.825343598439e-01,3.418830076218e-01,5.088552725941e-01,4.139792490223e-01,6.440003254380e-01
1.268456358619e+00,1.051452829792e-01,1.398686650976e-01,1.891979374509e-01,2.639381324467e-01,2.644826236577e-01,3.869349793683e-01,3.365962448334e-01,5.164225767382e-01,4.078180774034e-01,6.561717556595e-01
1.290022551589e+00,1.037142401841e-01,1.407846005798e-01,1.863880503008e-01,2.662283428935e-01,2.603544192002e-01,3.913097217498e-01,3.313126673376e-01,5.239781599429e-01,4.016461932646e-01,6.684027994367e-01
1.311955411238e+00,1.022934913785e-01,1.416938144875e-01,1.835938134679e-01,2.685002831097e-01,2.562399046356e-01,3.956555701776e-01,3.260334268321e-01,5.315161487653e-01,3.954651674012e-01,6.806853241161e-01
