s,kernel_g0.2,kernel_g0.4,kernel_g0.6,kernel_g0.8,kernel_g0.95
1.811202003339e-01,1.208837552198e+00,1.330033185046e+00,1.256686894434e+00,8.545431159987e-01,2.603536077760e-01
1.827879799666e-01,1.206623541022e+00,1.325165679592e+00,1.249794588532e+00,8.482998401139e-01,2.580963684487e-01
1.844557595993e-01,1.204433639241e+00,1.320359956551e+00,1.243002172199e+00,8.421582654112e-01,2.558789359230e-01
1.861235392321e-01,1.202267369860e+00,1.315614683662e+00,1.236307314050e+00,8.361158379372e-01,2.537002577173e-01
1.877913188648e-01,1.200124269490e+00,1.310928569005e+00,1.229707757371e+00,8.301700900063e-01,2.515593182792e-01
1.894590984975e-01,1.198003887841e+00,1.306300359426e+00,1.223201317090e+00,8.243186365521e-01,2.494551373764e-01
1.911268781302e-01,1.195905787239e+00,1.301728839051e+00,1.216785876900e+00,8.185591716642e-01,2.473867685702e-01
1.927946577629e-01,1.193829542171e+00,1.297212827860e+00,1.210459386512e+00,8.128894652982e-01,2.453532977686e-01
1.944624373957e-01,1.191774738839e+00,1.292751180331e+00,1.204219859050e+00,8.073073601503e-01,2.433538418527e-01
1.961302170284e-01,1.189740974748e+00,1.288342784146e+00,1.198065368567e+00,8.018107686852e-01,2.413875473726e-01
1.977979966611e-01,1.187727858296e+00,1.283986558956e+00,1.191994047672e+00,7.963976703105e-01,2.394535893088e-01
1.994657762938e-01,1.185735008394e+00,1.279681455204e+00,1.186004085283e+00,7.910661086872e-01,2.375511698954e-01
2.011335559265e-01,1.183762054103e+00,1.275426452994e+00,1.180093724466e+00,7.858141891709e-01,2.356795175012e-01
2.028013355593e-01,1.181808634272e+00,1.271220561020e+00,1.174261260391e+00,7.806400763738e-01,2.338378855656e-01
2.044691151920e-01,1.179874397213e+00,1.267062815535e+00,1.168505038370e+00,7.755419918434e-01,2.320255515860e-01
2.061368948247e-01,1.177959000369e+00,1.262952279367e+00,1.162823451988e+00,7.705182118488e-01,2.302418161545e-01
2.078046744574e-01,1.176062110012e+00,1.258888040980e+00,1.157214941320e+00,7.655670652720e-01,2.284860020398e-01
2.094724540902e-01,1.174183400941e+00,1.254869213571e+00,1.151677991221e+00,7.606869315944e-01,2.267574533135e-01
2.111402337229e-01,1.172322556204e+00,1.250894934213e+00,1.146211129703e+00,7.558762389780e-01,2.250555345162e-01
2.128080133556e-01,1.170479266821e+00,1.246964363025e+00,1.140812926372e+00,7.511334624316e-01,2.233796298644e-01
2.144757929883e-01,1.168653231525e+00,1.243076682384e+00,1.135481990937e+00,7.464571220618e-01,2.217291424920e-01
2.161435726210e-01,1.166844156512e+00,1.239231096166e+00,1.130216971789e+00,7.418457814007e-01,2.201034937280e-01
2.178113522538e-01,1.165051755197e+00,1.235426829024e+00,1.125016554632e+00,7.372980458090e-01,2.185021224070e-01
2.194791318865e-01,1.163275747988e+00,1.231663125687e+00,1.119879461181e+00,7.328125609492e-01,2.169244842101e-01
2.211469115192e-01,1.161515862057e+00,1.227939250293e+00,1.114804447905e+00,7.283880113252e-01,2.153700510364e-01
2.228146911519e-01,1.159771831134e+00,1.224254485751e+00,1.109790304835e+00,7.240231188863e-01,2.138383104016e-01
2.244824707846e-01,1.158043395296e+00,1.220608133125e+00,1.104835854410e+00,7.197166416904e-01,2.123287648637e-01
2.261502504174e-01,1.156330300774e+00,1.216999511042e+00,1.099939950379e+00,7.154673726251e-01,2.108409314738e-01
2.278180300501e-01,1.154632299759e+00,1.213427955125e+00,1.095101476745e+00,7.112741381828e-01,2.093743412510e-01
2.294858096828e-01,1.152949150226e+00,1.209892817452e+00,1.090319346752e+00,7.071357972876e-01,2.079285386795e-01
2.311535893155e-01,1.151280615749e+00,1.206393466028e+00,1.085592501910e+00,7.030512401714e-01,2.065030812279e-01
2.328213689482e-01,1.149626465340e+00,1.202929284286e+00,1.080919911066e+00,6.990193872964e-01,2.050975388883e-01
