ft,spinup_g0.2_re,spinup_g0.2_im,spinup_g0.5_re,spinup_g0.5_im,spinup_g0.8_re,spinup_g0.8_im,spinup_g1.0_re,spinup_g1.0_im
1.959786314138e-03,3.683503938072e-01,9.858866781159e-02,1.213989014115e-01,7.001040553279e-02,5.416380153295e-02,4.539319616510e-02,3.534499059790e-02,3.529884165430e-02
1.977933015350e-03,3.689169267914e-01,9.873927499526e-02,1.217727679979e-01,7.022527717032e-02,5.438638810345e-02,4.557922290548e-02,3.550846693830e-02,3.546167553710e-02
1.996247746496e-03,3.694843334760e-01,9.889010336841e-02,1.221477889130e-01,7.044080313799e-02,5.460989175533e-02,4.576600917613e-02,3.567270137406e-02,3.562525857137e-02
2.014732063455e-03,3.700526152338e-01,9.904115315918e-02,1.225239677573e-01,7.065698536459e-02,5.483431629860e-02,4.595355804012e-02,3.583769744836e-02,3.578959417576e-02
2.033387536510e-03,3.706217734399e-01,9.919242459489e-02,1.229013081428e-01,7.087382578380e-02,5.505966555953e-02,4.614187257235e-02,3.600345872133e-02,3.595468578417e-02
2.052215750488e-03,3.711918094719e-01,9.934391790195e-02,1.232798136933e-01,7.109132633416e-02,5.528594338068e-02,4.633095585959e-02,3.616998877010e-02,3.612053684572e-02
2.071218304889e-03,3.717627247097e-01,9.949563330590e-02,1.236594880443e-01,7.130948895914e-02,5.551315362104e-02,4.652081100052e-02,3.633729118895e-02,3.628715082491e-02
2.090396814022e-03,3.723345205359e-01,9.964757103138e-02,1.240403348432e-01,7.152831560708e-02,5.574130015607e-02,4.671144110580e-02,3.650536958934e-02,3.645453120161e-02
2.109752907145e-03,3.729071983353e-01,9.979973130210e-02,1.244223577490e-01,7.174780823121e-02,5.597038687776e-02,4.690284929807e-02,3.667422760003e-02,3.662268147114e-02
2.129288228604e-03,3.734807594954e-01,9.995211434084e-02,1.248055604329e-01,7.196796878968e-02,5.620041769475e-02,4.709503871199e-02,3.684386886715e-02,3.679160514437e-02
2.149004437969e-03,3.740552054059e-01,1.001047203694e-01,1.251899465778e-01,7.218879924551e-02,5.643139653238e-02,4.728801249432e-02,3.701429705430e-02,3.696130574773e-02
2.168903210176e-03,3.746305374591e-01,1.002575496088e-01,1.255755198789e-01,7.241030156663e-02,5.666332733275e-02,4.748177380391e-02,3.718551584264e-02,3.713178682331e-02
2.188986235672e-03,3.752067570499e-01,1.004106022787e-01,1.259622840429e-01,7.263247772587e-02,5.689621405484e-02,4.767632581176e-02,3.735752893098e-02,3.730305192891e-02
2.209255220555e-03,3.757838655756e-01,1.005638785981e-01,1.263502427892e-01,7.285532970097e-02,5.713006067456e-02,4.787167170107e-02,3.753034003587e-02,3.747510463809e-02
2.229711886724e-03,3.763618644358e-01,1.007173787849e-01,1.267393998488e-01,7.307885947455e-02,5.736487118484e-02,4.806781466725e-02,3.770395289166e-02,3.764794854027e-02
2.250357972017e-03,3.769407550330e-01,1.008711030559e-01,1.271297589652e-01,7.330306903414e-02,5.760064959569e-02,4.826475791800e-02,3.787837125065e-02,3.782158724074e-02
2.271195230367e-03,3.775205387719e-01,1.010250516270e-01,1.275213238938e-01,7.352796037217e-02,5.783739993432e-02,4.846250467331e-02,3.805359888315e-02,3.799602436080e-02
2.292225431947e-03,3.781012170599e-01,1.011792247129e-01,1.279140984026e-01,7.375353548597e-02,5.807512624517e-02,4.866105816551e-02,3.822963957755e-02,3.817126353774e-02
2.313450363320e-03,3.786827913068e-01,1.013336225272e-01,1.283080862717e-01,7.397979637777e-02,5.831383259002e-02,4.886042163932e-02,3.840649714046e-02,3.834730842496e-02
2.334871827594e-03,3.792652629250e-01,1.014882452826e-01,1.287032912935e-01,7.420674505471e-02,5.855352304808e-02,4.906059835189e-02,3.858417539678e-02,3.852416269201e-02
2.356491644571e-03,3.798486333294e-01,1.016430931904e-01,1.290997172729e-01,7.443438352883e-02,5.879420171603e-02,4.926159157281e-02,3.876267818979e-02,3.870183002468e-02
2.378311650902e-03,3.804329039375e-01,1.017981664611e-01,1.294973680273e-01,7.466271381704e-02,5.903587270817e-02,4.946340458419e-02,3.894200938124e-02,3.888031412504e-02
2.400333700249e-03,3.810180761695e-01,1.019534653038e-01,1.298962473865e-01,7.489173794119e-02,5.927854015641e-02,4.966604068066e-02,3.912217285147e-02,3.905961871150e-02
2.422559663434e-03,3.816041514478e-01,1.021089899266e-01,1.302963591927e-01,7.512145792799e-02,5.952220821044e-02,4.986950316945e-02,3.930317249949e-02,3.923974751890e-02
2.444991428603e-03,3.821911311977e-01,1.022647405362e-01,1.306977073009e-01,7.535187580907e-02,5.976688103778e-02,5.007379537038e-02,3.948501224308e-02,3.942070429856e-02
2.467630901387e-03,3.827790168470e-01,1.024207173384e-01,1.311002955787e-01,7.558299362096e-02,6.001256282383e-02,5.027892061595e-02,3.966769601887e-02,3.960249281835e-02
2.490480005061e-03,3.833678098260e-01,1.025769205375e-01,1.315041279064e-01,7.581481340504e-02,6.025925777202e-02,5.048488225135e-02,3.985122778247e-02,3.978511686275e-02
2.513540680707e-03,3.839575115677e-01,1.027333503368e-01,1.319092081767e-01,7.604733720763e-02,6.050697010383e-02,5.069168363448e-02,4.003561150855e-02,3.996858023292e-02
2.536814887384e-03,3.845481235077e-01,1.028900069382e-01,1.323155402956e-01,7.628056707991e-02,6.075570405892e-02,5.089932813603e-02,4.022085119093e-02,4.015288674678e-02
2.560304602288e-03,3.851396470841e-01,1.030468905422e-01,1.327231281816e-01,7.651450507796e-02,6.100546389521e-02,5.110781913952e-02,4.040695084270e-02,4.033804023904e-02
2.584011820925e-03,3.857320837379e-01,1.032040013484e-01,1.331319757661e-01,7.674915326273e-02,6.125625388895e-02,5.131716004127e-02,4.059391449632e-02,4.052404456129e-02
2.607938557276e-03,3.863254349124e-01,1.033613395548e-01,1.335420869935e-01,7.698451370005e-02,6.150807833479e-02,5.152735425054e-02,4.078174620368e-02,4.071090358208e-02
2.632086843973e-03,3.869197020538e-01,1.035189053580e-01,1.339534658212e-01,7.722058846064e-02,6.176094154593e-02,5.173840518947e-02,4.097045003627e-02,4.089862118695e-02
2.656458732468e-03,3.875148866108e-01,1.036766989535e-01,1.343661162195e-01,7.745737962008e-02,6.201484785414e-02,5.195031629322e-02,4.116003008522e-02,4.108720127854e-02
2.681056293209e-03,3.881109900348e-01,1.038347205352e-01,1.347800421718e-01,7.769488925884e-02,6.226980160990e-02,5.216309100990e-02,4.135049046143e-02,4.127664777661e-02
2.705881615814e-03,3.887080137799e-01,1.039929702957e-01,1.351952476749e-01,7.793311946222e-02,6.252580718244e-02,5.237673280069e-02,4.154183529569e-02,4.146696461815e-02
2.730936809252e-03,3.893059593028e-01,1.041514484263e-01,1.356117367383e-01,7.817207232043e-02,6.278286895987e-02,5.259124513985e-02,4.173406873874e-02,4.165815575741e-02
2.756224002019e-03,3.899048280629e-01,1.043101551166e-01,1.360295133851e-01,7.841174992850e-02,6.304099134927e-02,5.280663151477e-02,4.192719496142e-02,4.185022516599e-02
2.781745342319e-03,3.905046215225e-01,1.044690905551e-01,1.364485816516e-01,7.865215438632e-02,6.330017877673e-02,5.302289542597e-02,4.212121815474e-02,4.204317683290e-02
2.807502998249e-03,3.911053411463e-01,1.046282549285e-01,1.368689455873e-01,7.889328779865e-02,6.356043568750e-02,5.324004038719e-02,4.231614253001e-02,4.223701476465e-02
2.833499157980e-03,3.917069884018e-01,1.047876484221e-01,1.372906092553e-01,7.913515227506e-02,6.382176654605e-02,5.345806992540e-02,4.251197231893e-02,4.243174298527e-02
