gamma,theta,theta_inf
4.350877192982e-01,-2.728606356968e+01,-1.172860635697e+02
4.375438596491e-01,-2.739321454723e+01,-1.173932145472e+02
4.400000000000e-01,-2.750000000000e+01,-1.175000000000e+02
4.424561403509e-01,-2.760642179518e+01,-1.176064217952e+02
4.449122807018e-01,-2.771248178728e+01,-1.177124817873e+02
4.473684210526e-01,-2.781818181818e+01,-1.178181818182e+02
4.498245614035e-01,-2.792352371733e+01,-1.179235237173e+02
4.522807017544e-01,-2.802850930176e+01,-1.180285093018e+02
4.547368421053e-01,-2.813314037627e+01,-1.181331403763e+02
4.571929824561e-01,-2.823741873345e+01,-1.182374187334e+02
4.596491228070e-01,-2.834134615385e+01,-1.183413461538e+02
4.621052631579e-01,-2.844492440605e+01,-1.184449244060e+02
4.645614035088e-01,-2.854815524677e+01,-1.185481552468e+02
4.670175438596e-01,-2.865104042095e+01,-1.186510404210e+02
4.694736842105e-01,-2.875358166189e+01,-1.187535816619e+02
4.719298245614e-01,-2.885578069130e+01,-1.188557806913e+02
4.743859649123e-01,-2.895763921942e+01,-1.189576392194e+02
4.768421052632e-01,-2.905915894512e+01,-1.190591589451e+02
4.792982456140e-01,-2.916034155598e+01,-1.191603415560e+02
4.817543859649e-01,-2.926118872839e+01,-1.192611887284e+02
4.842105263158e-01,-2.936170212766e+01,-1.193617021277e+02
4.866666666667e-01,-2.946188340807e+01,-1.194618834081e+02
4.891228070175e-01,-2.956173421301e+01,-1.195617342130e+02
4.915789473684e-01,-2.966125617502e+01,-1.196612561750e+02
4.940350877193e-01,-2.976045091592e+01,-1.197604509159e+02
4.964912280702e-01,-2.985932004689e+01,-1.198593200469e+02
4.989473684211e-01,-2.995786516854e+01,-1.199578651685e+02
5.014035087719e-01,-3.005608787100e+01,-1.200560878710e+02
5.038596491228e-01,-3.015398973402e+01,-1.201539897340e+02
5.063157894737e-01,-3.025157232704e+01,-1.202515723270e+02
5.087719298246e-01,-3.034883720930e+01,-1.203488372093e+02
5.112280701754e-01,-3.044578592988e+01,-1.204457859299e+02
5.136842105263e-01,-3.054242002782e+01,-1.205424200278e+02
5.161403508772e-01,-3.063874103217e+01,-1.206387410322e+02
5.185964912281e-01,-3.073475046211e+01,-1.207347504621e+02
5.210526315789e-01,-3.083044982699e+01,-1.208304498270e+02
5.235087719298e-01,-3.092584062644e+01,-1.209258406264e+02
5.259649122807e-01,-3.102092435043e+01,-1.210209243504e+02
5.284210526316e-01,-3.111570247934e+01,-1.211157024793e+02
5.308771929825e-01,-3.121017648407e+01,-1.212101764841e+02
5.333333333333e-01,-3.130434782609e+01,-1.213043478261e+02
5.357894736842e-01,-3.139821795751e+01,-1.213982179575e+02
5.382456140351e-01,-3.149178832117e+01,-1.214917883212e+02
5.407017543860e-01,-3.158506035072e+01,-1.215850603507e+02
5.431578947368e-01,-3.167803547067e+01,-1.216780354707e+02
5.456140350877e-01,-3.177071509648e+01,-1.217707150965e+02
5.480701754386e-01,-3.186310063463e+01,-1.218631006346e+02
5.505263157895e-01,-3.195519348269e+01,-1.219551934827e+02
5.529824561404e-01,-3.204699502937e+01,-1.220469950294e+02
5.554385964912e-01,-3.213850665464e+01,-1.221385066546e+02
5.578947368421e-01,-3.222972972973e+01,-1.222297297297e+02
5.603508771930e-01,-3.232066561727e+01,-1.223206656173e+02
5.628070175439e-01,-3.241131567131e+01,-1.224113156713e+02
5.652631578947e-01,-3.250168123739e+01,-1.225016812374e+02
5.677192982456e-01,-3.259176365264e+01,-1.225917636526e+02
5.701754385965e-01,-3.268156424581e+01,-1.226815642458e+02
