g0.25_x,g0.25_y,g0.5_x,g0.5_y,g0.75_x,g0.75_y,g1.0_x,g1.0_y,zeta
8.854771782034e-01,-3.427272773374e-01,8.550706617880e-01,-5.063210308131e-01,7.801167328578e-01,-6.244295115138e-01,7.068615812792e-01,-7.072293412880e-01,3.677918951520e-04
8.853904624915e-01,-3.427733966086e-01,8.550436110055e-01,-5.063366215551e-01,7.801104456291e-01,-6.244329536972e-01,7.068603835452e-01,-7.072299397647e-01,3.695884181547e-04
8.853036225167e-01,-3.428195851823e-01,8.550164926378e-01,-5.063522511197e-01,7.801041353165e-01,-6.244364084928e-01,7.068591799605e-01,-7.072305411630e-01,3.713937164864e-04
8.852166580745e-01,-3.428658431769e-01,8.549893065122e-01,-5.063679196050e-01,7.800978018352e-01,-6.244398759467e-01,7.068579704965e-01,-7.072311454970e-01,3.732078330113e-04
8.851295689599e-01,-3.429121707108e-01,8.549620524555e-01,-5.063836271097e-01,7.800914450997e-01,-6.244433561055e-01,7.068567551244e-01,-7.072317527812e-01,3.750308108030e-04
8.850423549674e-01,-3.429585679029e-01,8.549347302943e-01,-5.063993737323e-01,7.800850650246e-01,-6.244468490155e-01,7.068555338155e-01,-7.072323630299e-01,3.768626931451e-04
8.849550158912e-01,-3.430050348719e-01,8.549073398545e-01,-5.064151595720e-01,7.800786615238e-01,-6.244503547236e-01,7.068543065406e-01,-7.072329762576e-01,3.787035235333e-04
8.848675515250e-01,-3.430515717371e-01,8.548798809617e-01,-5.064309847279e-01,7.800722345111e-01,-6.244538732767e-01,7.068530732707e-01,-7.072335924788e-01,3.805533456751e-04
8.847799616622e-01,-3.430981786178e-01,8.548523534408e-01,-5.064468492996e-01,7.800657839001e-01,-6.244574047219e-01,7.068518339765e-01,-7.072342117080e-01,3.824122034919e-04
8.846922460956e-01,-3.431448556338e-01,8.548247571166e-01,-5.064627533868e-01,7.800593096037e-01,-6.244609491063e-01,7.068505886286e-01,-7.072348339601e-01,3.842801411195e-04
8.846044046177e-01,-3.431916029048e-01,8.547970918131e-01,-5.064786970895e-01,7.800528115349e-01,-6.244645064774e-01,7.068493371973e-01,-7.072354592497e-01,3.861572029094e-04
8.845164370207e-01,-3.432384205510e-01,8.547693573539e-01,-5.064946805080e-01,7.800462896061e-01,-6.244680768829e-01,7.068480796530e-01,-7.072360875917e-01,3.880434334295e-04
8.844283430962e-01,-3.432853086927e-01,8.547415535623e-01,-5.065107037429e-01,7.800397437294e-01,-6.244716603704e-01,7.068468159657e-01,-7.072367190008e-01,3.899388774656e-04
8.843401226355e-01,-3.433322674504e-01,8.547136802610e-01,-5.065267668950e-01,7.800331738166e-01,-6.244752569879e-01,7.068455461056e-01,-7.072373534922e-01,3.918435800223e-04
8.842517754292e-01,-3.433792969448e-01,8.546857372723e-01,-5.065428700652e-01,7.800265797794e-01,-6.244788667835e-01,7.068442700424e-01,-7.072379910809e-01,3.937575863238e-04
8.841633012680e-01,-3.434263972971e-01,8.546577244178e-01,-5.065590133550e-01,7.800199615288e-01,-6.244824898056e-01,7.068429877458e-01,-7.072386317818e-01,3.956809418154e-04
8.840746999417e-01,-3.434735686284e-01,8.546296415189e-01,-5.065751968659e-01,7.800133189758e-01,-6.244861261026e-01,7.068416991854e-01,-7.072392756104e-01,3.976136921644e-04
8.839859712399e-01,-3.435208110602e-01,8.546014883965e-01,-5.065914206998e-01,7.800066520307e-01,-6.244897757231e-01,7.068404043306e-01,-7.072399225816e-01,3.995558832610e-04
8.838971149517e-01,-3.435681247142e-01,8.545732648708e-01,-5.066076849588e-01,7.799999606039e-01,-6.244934387160e-01,7.068391031506e-01,-7.072405727111e-01,4.015075612197e-04
8.838081308658e-01,-3.436155097124e-01,8.545449707617e-01,-5.066239897452e-01,7.799932446051e-01,-6.244971151303e-01,7.068377956145e-01,-7.072412260140e-01,4.034687723801e-04
8.837190187706e-01,-3.436629661769e-01,8.545166058886e-01,-5.066403351617e-01,7.799865039440e-01,-6.245008050152e-01,7.068364816914e-01,-7.072418825059e-01,4.054395633084e-04
8.836297784538e-01,-3.437104942301e-01,8.544881700705e-01,-5.066567213112e-01,7.799797385296e-01,-6.245045084199e-01,7.068351613499e-01,-7.072425422024e-01,4.074199807980e-04
8.835404097030e-01,-3.437580939947e-01,8.544596631257e-01,-5.066731482969e-01,7.799729482708e-01,-6.245082253942e-01,7.068338345587e-01,-7.072432051191e-01,4.094100718710e-04
8.834509123050e-01,-3.438057655935e-01,8.544310848722e-01,-5.066896162223e-01,7.799661330762e-01,-6.245119559877e-01,7.068325012863e-01,-7.072438712717e-01,4.114098837791e-04
8.833612860465e-01,-3.438535091496e-01,8.544024351274e-01,-5.067061251909e-01,7.799592928539e-01,-6.245157002503e-01,7.068311615011e-01,-7.072445406760e-01,4.134194640051e-04
8.832715307137e-01,-3.439013247864e-01,8.543737137083e-01,-5.067226753069e-01,7.799524275117e-01,-6.245194582322e-01,7.068298151713e-01,-7.072452133478e-01,4.154388602632e-04
8.831816460921e-01,-3.439492126275e-01,8.543449204314e-01,-5.067392666744e-01,7.799455369572e-01,-6.245232299835e-01,7.068284622648e-01,-7.072458893032e-01,4.174681205012e-04
8.830916319671e-01,-3.439971727966e-01,8.543160551126e-01,-5.067558993980e-01,7.799386210975e-01,-6.245270155548e-01,7.068271027496e-01,-7.072465685580e-01,4.195072929008e-04
8.830014881235e-01,-3.440452054178e-01,8.542871175674e-01,-5.067725735825e-01,7.799316798394e-01,-6.245308149966e-01,7.068257365933e-01,-7.072472511284e-01,4.215564258790e-04
8.829112143457e-01,-3.440933106155e-01,8.542581076110e-01,-5.067892893329e-01,7.799247130894e-01,-6.245346283600e-01,7.068243637635e-01,-7.072479370306e-01,4.236155680897e-04
8.828208104177e-01,-3.441414885140e-01,8.542290250576e-01,-5.068060467546e-01,7.799177207535e-01,-6.245384556957e-01,7.068229842277e-01,-7.072486262808e-01,4.256847684239e-04
8.827302761230e-01,-3.441897392383e-01,8.541998697215e-01,-5.068228459531e-01,7.799107027376e-01,-6.245422970552e-01,7.068215979530e-01,-7.072493188953e-01,4.277640760118e-04
8.826396112447e-01,-3.442380629133e-01,8.541706414160e-01,-5.068396870344e-01,7.799036589470e-01,-6.245461524896e-01,7.068202049065e-01,-7.072500148907e-01,4.298535402236e-04
8.825488155654e-01,-3.442864596641e-01,8.541413399543e-01,-5.068565701046e-01,7.798965892869e-01,-6.245500220507e-01,7.068188050552e-01,-7.072507142832e-01,4.319532106703e-04
8.824578888673e-01,-3.443349296164e-01,8.541119651487e-01,-5.068734952701e-01,7.798894936620e-01,-6.245539057902e-01,7.068173983658e-01,-7.072514170896e-01,4.340631372057e-04
8.823668309323e-01,-3.443834728959e-01,8.540825168114e-01,-5.068904626377e-01,7.798823719766e-01,-6.245578037601e-01,7.068159848049e-01,-7.072521233265e-01,4.361833699266e-04
8.822756415415e-01,-3.444320896284e-01,8.540529947539e-01,-5.069074723143e-01,7.798752241347e-01,-6.245617160125e-01,7.068145643390e-01,-7.072528330106e-01,4.383139591751e-04
8.821843204760e-01,-3.444807799402e-01,8.540233987871e-01,-5.069245244072e-01,7.798680500400e-01,-6.245656425997e-01,7.068131369343e-01,-7.072535461587e-01,4.404549555386e-04
8.820928675161e-01,-3.445295439577e-01,8.539937287217e-01,-5.069416190239e-01,7.798608495957e-01,-6.245695835743e-01,7.068117025568e-01,-7.072542627877e-01,4.426064098521e-04
8.820012824418e-01,-3.445783818077e-01,8.539639843674e-01,-5.069587562723e-01,7.798536227049e-01,-6.245735389890e-01,7.068102611727e-01,-7.072549829146e-01,4.447683731986e-04
8.819095650326e-01,-3.446272936170e-01,8.539341655340e-01,-5.069759362604e-01,7.798463692701e-01,-6.245775088967e-01,7.068088127475e-01,-7.072557065565e-01,4.469408969106e-04
8.818177150676e-01,-3.446762795128e-01,8.539042720303e-01,-5.069931590967e-01,7.798390891936e-01,-6.245814933506e-01,7.068073572470e-01,-7.072564337304e-01,4.491240325717e-04
8.817257323256e-01,-3.447253396225e-01,8.538743036648e-01,-5.070104248897e-01,7.798317823771e-01,-6.245854924039e-01,7.068058946365e-01,-7.072571644537e-01,4.513178320170e-04
8.816336165845e-01,-3.447744740737e-01,8.538442602455e-01,-5.070277337485e-01,7.798244487222e-01,-6.245895061101e-01,7.068044248814e-01,-7.072578987437e-01,4.535223473351e-04
8.815413676223e-01,-3.448236829945e-01,8.538141415798e-01,-5.070450857822e-01,7.798170881300e-01,-6.245935345230e-01,7.068029479466e-01,-7.072586366176e-01,4.557376308690e-04
