zeta,turn_g0.2,turn_g0.5,turn_g0.7,turn_g0.9,turn_g0.95,turn_g1.0
4.486360932970e-04,-1.377646020841e+00,-3.723148343331e-01,-1.125390081255e-01,-2.901084236440e-02,-2.030253302972e-02,-1.412472434385e-02
4.545823614974e-04,-1.392658388667e+00,-3.770222637387e-01,-1.141448915145e-01,-2.947767400511e-02,-2.063894109786e-02,-1.436563284650e-02
4.606074421386e-04,-1.407731832865e+00,-3.817619964121e-01,-1.157657420429e-01,-2.995007443521e-02,-2.097958470852e-02,-1.460973437482e-02
4.667123798086e-04,-1.422866664516e+00,-3.865342614950e-01,-1.174017000292e-01,-3.042811012355e-02,-2.132451720106e-02,-1.485707124953e-02
4.728982329405e-04,-1.438063196633e+00,-3.913392898462e-01,-1.190529071213e-01,-3.091184833319e-02,-2.167379258691e-02,-1.510768635221e-02
4.791660739961e-04,-1.453321744178e+00,-3.961773140561e-01,-1.207195063100e-01,-3.140135713096e-02,-2.202746555789e-02,-1.536162313283e-02
4.855169896515e-04,-1.468642624073e+00,-4.010485684603e-01,-1.224016419412e-01,-3.189670539703e-02,-2.238559149492e-02,-1.561892561726e-02
4.919520809861e-04,-1.484026155216e+00,-4.059532891542e-01,-1.240994597295e-01,-3.239796283464e-02,-2.274822647661e-02,-1.587963841485e-02
4.984724636727e-04,-1.499472658493e+00,-4.108917140070e-01,-1.258131067711e-01,-3.290519998005e-02,-2.311542728812e-02,-1.614380672627e-02
5.050792681715e-04,-1.514982456793e+00,-4.158640826760e-01,-1.275427315575e-01,-3.341848821241e-02,-2.348725143004e-02,-1.641147635124e-02
5.117736399261e-04,-1.530555875023e+00,-4.208706366219e-01,-1.292884839887e-01,-3.393789976389e-02,-2.386375712740e-02,-1.668269369650e-02
5.185567395616e-04,-1.546193240121e+00,-4.259116191228e-01,-1.310505153869e-01,-3.446350772991e-02,-2.424500333885e-02,-1.695750578392e-02
5.254297430864e-04,-1.561894881072e+00,-4.309872752891e-01,-1.328289785105e-01,-3.499538607947e-02,-2.463104976583e-02,-1.723596025856e-02
5.323938420957e-04,-1.577661128920e+00,-4.360978520790e-01,-1.346240275674e-01,-3.553360966558e-02,-2.502195686204e-02,-1.751810539700e-02
5.394502439783e-04,-1.593492316784e+00,-4.412435983130e-01,-1.364358182298e-01,-3.607825423592e-02,-2.541778584286e-02,-1.780399011568e-02
5.466001721259e-04,-1.609388779876e+00,-4.464247646896e-01,-1.382645076478e-01,-3.662939644347e-02,-2.581859869493e-02,-1.809366397936e-02
5.538448661451e-04,-1.625350855508e+00,-4.516416038003e-01,-1.401102544639e-01,-3.718711385743e-02,-2.622445818595e-02,-1.838717720976e-02
5.611855820722e-04,-1.641378883116e+00,-4.568943701454e-01,-1.419732188276e-01,-3.775148497412e-02,-2.663542787448e-02,-1.868458069422e-02
5.686235925913e-04,-1.657473204267e+00,-4.621833201497e-01,-1.438535624096e-01,-3.832258922818e-02,-2.705157211990e-02,-1.898592599457e-02
5.761601872550e-04,-1.673634162681e+00,-4.675087121778e-01,-1.457514484173e-01,-3.890050700370e-02,-2.747295609259e-02,-1.929126535605e-02
5.837966727073e-04,-1.689862104241e+00,-4.728708065509e-01,-1.476670416087e-01,-3.948531964567e-02,-2.789964578404e-02,-1.960065171634e-02
5.915343729109e-04,-1.706157377013e+00,-4.782698655620e-01,-1.496005083084e-01,-4.007710947152e-02,-2.833170801730e-02,-1.991413871477e-02
5.993746293763e-04,-1.722520331255e+00,-4.837061534928e-01,-1.515520164222e-01,-4.067595978265e-02,-2.876921045742e-02,-2.023178070160e-02
6.073188013947e-04,-1.738951319441e+00,-4.891799366295e-01,-1.535217354525e-01,-4.128195487633e-02,-2.921222162208e-02,-2.055363274750e-02
6.153682662733e-04,-1.755450696270e+00,-4.946914832799e-01,-1.555098365141e-01,-4.189518005761e-02,-2.966081089235e-02,-2.087975065299e-02
6.235244195743e-04,-1.772018818686e+00,-5.002410637899e-01,-1.575164923497e-01,-4.251572165135e-02,-3.011504852359e-02,-2.121019095822e-02
6.317886753569e-04,-1.788656045889e+00,-5.058289505599e-01,-1.595418773458e-01,-4.314366701448e-02,-3.057500565642e-02,-2.154501095272e-02
6.401624664224e-04,-1.805362739359e+00,-5.114554180625e-01,-1.615861675483e-01,-4.377910454840e-02,-3.104075432796e-02,-2.188426868531e-02
6.486472445623e-04,-1.822139262864e+00,-5.171207428590e-01,-1.636495406791e-01,-4.442212371141e-02,-3.151236748307e-02,-2.222802297423e-02
6.572444808108e-04,-1.838985982481e+00,-5.228252036171e-01,-1.657321761524e-01,-4.507281503146e-02,-3.198991898586e-02,-2.257633341731e-02
6.659556656988e-04,-1.855903266612e+00,-5.285690811281e-01,-1.678342550907e-01,-4.573127011890e-02,-3.247348363128e-02,-2.292926040226e-02
6.747823095133e-04,-1.872891486000e+00,-5.343526583248e-01,-1.699559603419e-01,-4.639758167954e-02,-3.296313715677e-02,-2.328686511720e-02
6.837259425585e-04,-1.889951013743e+00,-5.401762202989e-01,-1.720974764959e-01,-4.707184352769e-02,-3.345895625428e-02,-2.364920956123e-02
6.927881154215e-04,-1.907082225317e+00,-5.460400543192e-01,-1.742589899016e-01,-4.775415059950e-02,-3.396101858221e-02,-2.401635655521e-02
7.019703992412e-04,-1.924285498588e+00,-5.519444498497e-01,-1.764406886841e-01,-4.844459896643e-02,-3.446940277764e-02,-2.438836975261e-02
7.112743859801e-04,-1.941561213830e+00,-5.578896985675e-01,-1.786427627616e-01,-4.914328584878e-02,-3.498418846870e-02,-2.476531365061e-02
7.207016887013e-04,-1.958909753742e+00,-5.638760943818e-01,-1.808654038638e-01,-4.985030962955e-02,-3.550545628703e-02,-2.514725360118e-02
7.302539418471e-04,-1.976331503467e+00,-5.699039334521e-01,-1.831088055486e-01,-5.056576986835e-02,-3.603328788043e-02,-2.553425582252e-02
7.399328015232e-04,-1.993826850609e+00,-5.759735142069e-01,-1.853731632203e-01,-5.128976731547e-02,-3.656776592574e-02,-2.592638741050e-02
7.497399457854e-04,-2.011396185249e+00,-5.820851373630e-01,-1.876586741480e-01,-5.202240392622e-02,-3.710897414178e-02,-2.632371635023e-02
7.596770749304e-04,-2.029039899962e+00,-5.882391059444e-01,-1.899655374831e-01,-5.276378287533e-02,-3.765699730248e-02,-2.672631152796e-02
7.697459117912e-04,-2.046758389840e+00,-5.944357253013e-01,-1.922939542782e-01,-5.351400857163e-02,-3.821192125022e-02,-2.713424274293e-02
7.799482020351e-04,-2.064552052503e+00,-6.006753031303e-01,-1.946441275057e-01,-5.427318667276e-02,-3.877383290932e-02,-2.754758071952e-02
7.902857144668e-04,-2.082421288123e+00,-6.069581494932e-01,-1.970162620761e-01,-5.504142410028e-02,-3.934282029968e-02,-2.796639711951e-02
8.007602413348e-04,-2.100366499438e+00,-6.132845768375e-01,-1.994105648573e-01,-5.581882905471e-02,-3.991897255054e-02,-2.839076455446e-02
8.113735986424e-04,-2.118388091772e+00,-6.196549000159e-01,-2.018272446939e-01,-5.660551103090e-02,-4.050237991458e-02,-2.882075659835e-02
8.221276264622e-04,-2.136486473055e+00,-6.260694363068e-01,-2.042665124260e-01,-5.740158083361e-02,-4.109313378207e-02,-2.925644780032e-02
8.330241892554e-04,-2.154662053839e+00,-6.325285054347e-01,-2.067285809094e-01,-5.820715059320e-02,-4.169132669514e-02,-2.969791369760e-02
8.440651761951e-04,-2.172915247316e+00,-6.390324295903e-01,-2.092136650348e-01,-5.902233378145e-02,-4.229705236242e-02,-3.014523082858e-02
8.552525014935e-04,-2.191246469343e+00,-6.455815334520e-01,-2.117219817479e-01,-5.984724522782e-02,-4.291040567370e-02,-3.059847674609e-02
8.665881047340e-04,-2.209656138453e+00,-6.521761442061e-01,-2.142537500696e-01,-6.068200113559e-02,-4.353148271486e-02,-3.105773003088e-02
8.780739512075e-04,-2.228144675880e+00,-6.588165915686e-01,-2.168091911165e-01,-6.152671909841e-02,-4.416038078295e-02,-3.152307030520e-02
8.897120322529e-04,-2.246712505575e+00,-6.655032078058e-01,-2.193885281209e-01,-6.238151811698e-02,-4.479719840147e-02,-3.199457824663e-02
9.015043656028e-04,-2.265360054226e+00,-6.722363277565e-01,-2.219919864522e-01,-6.324651861595e-02,-4.544203533586e-02,-3.247233560205e-02
9.134529957328e-04,-2.284087751280e+00,-6.790162888535e-01,-2.246197936375e-01,-6.412184246096e-02,-4.609499260920e-02,-3.295642520182e-02
9.255599942161e-04,-2.302896028960e+00,-6.858434311451e-01,-2.272721793828e-01,-6.500761297601e-02,-4.675617251799e-02,-3.344693097417e-02
9.378274600831e-04,-2.321785322286e+00,-6.927180973182e-01,-2.299493755947e-01,-6.590395496089e-02,-4.742567864832e-02,-3.394393795967e-02
9.502575201846e-04,-2.340756069093e+00,-6.996406327194e-01,-2.326516164014e-01,-6.681099470891e-02,-4.810361589213e-02,-3.444753232608e-02
9.628523295611e-04,-2.359808710055e+00,-7.066113853788e-01,-2.353791381753e-01,-6.772886002493e-02,-4.879009046363e-02,-3.495780138321e-02
9.756140718163e-04,-2.378943688702e+00,-7.136307060316e-01,-2.381321795545e-01,-6.865768024333e-02,-4.948520991602e-02,-3.547483359808e-02
9.885449594952e-04,-2.398161451442e+00,-7.206989481420e-01,-2.409109814652e-01,-6.959758624653e-02,-5.018908315845e-02,-3.599871861027e-02
1.001647234469e-03,-2.417462447581e+00,-7.278164679257e-01,-2.437157871444e-01,-7.054871048347e-02,-5.090182047305e-02,-3.652954724745e-02
1.014923168321e-03,-2.436847129343e+00,-7.349836243738e-01,-2.465468421626e-01,-7.151118698851e-02,-5.162353353229e-02,-3.706741154113e-02
1.028375062745e-03,-2.456315951894e+00,-7.422007792761e-01,-2.494043944466e-01,-7.248515140038e-02,-5.235433541656e-02,-3.761240474259e-02
1.042005249939e-03,-2.475869373357e+00,-7.494682972448e-01,-2.522886943028e-01,-7.347074098153e-02,-5.309434063189e-02,-3.816462133915e-02
1.055816093014e-03,-2.495507854841e+00,-7.567865457391e-01,-2.551999944407e-01,-7.446809463755e-02,-5.384366512798e-02,-3.872415707037e-02
1.069809986402e-03,-2.515231860454e+00,-7.641558950890e-01,-2.581385499967e-01,-7.547735293699e-02,-5.460242631647e-02,-3.929110894482e-02
